filename,predicted_plate,confidence,engine,was_flipped,ca_province,ca_series,ca_number,ca_full,edit_dist_full,norm_edit_dist,edit_dist_province,edit_dist_series,edit_dist_number,yolo_ms,ocr_ms,total_ms
0000_06886_b.jpg,59-C1 653.31,0.8546,easyocr,False,True,True,False,False,2,0.8696,0,0,1,162.81,1992.38,2155.18
0004_06801_b.jpg,59-H1 549.86,0.9026,easyocr,False,True,True,False,False,2,0.8696,0,0,1,30.05,63.85,93.9
0006_05286_b.jpg,59-CT 653.31,0.7024,easyocr,False,True,False,False,False,3,0.7826,0,1,1,23.54,57.3,80.84
0006_06035_b.jpg,59-01 396.19,0.5818,easyocr,False,True,False,False,False,3,0.7826,0,1,1,21.13,46.2,67.33
0007_02188_b.jpg,60-85 55723,0.9457,easyocr,False,True,False,True,False,2,0.8182,0,1,0,20.82,60.7,81.52
0007_05159_b.jpg,37-NI 079.18,0.5384,easyocr,False,True,False,False,False,4,0.6957,0,2,1,21.11,54.86,75.98
0018_07248_b.jpg,77-F1 30541,0.5194,easyocr,False,True,True,True,True,1,0.9091,0,0,0,20.85,48.01,68.87
0019_01137_b.jpg,59-V1 840.31,0.3933,easyocr,False,True,True,False,False,2,0.8696,0,0,1,20.91,60.45,81.36
0020_02063_b.jpg,63-89 579.26,0.7737,easyocr,False,True,False,False,False,3,0.7826,0,1,1,21.2,48.03,69.24
0025_00457_b.jpg,59-B1 349.17,0.7059,easyocr,False,True,True,False,False,2,0.8696,0,0,1,21.26,47.39,68.66
0028_08102_b.jpg,59 C1 005.07,0.636,easyocr,False,True,True,False,False,1,0.9565,0,0,1,20.91,38.14,59.05
0043_01757_b.jpg,65 F1 315.32,0.6899,easyocr,False,True,True,False,False,1,0.9565,0,0,1,21.08,48.81,69.9
0045_01821_b.jpg,49-81 81215,0.6861,easyocr,False,True,False,False,False,3,0.7273,0,1,1,21.21,62.5,83.71
0047_00966_b.jpg,54*51 631?,0.5198,easyocr,False,True,False,False,False,3,0.7,0,2,2,21.11,36.21,57.32
0048_01689_b.jpg,51-R5 6273,0.8727,easyocr,False,True,True,True,True,1,0.9,0,0,0,23.68,47.67,71.35
0051_01757_b.jpg,65-FI 315.32,0.6949,easyocr,False,True,False,False,False,3,0.7826,0,1,1,20.91,57.72,78.63
0054_00940_b.jpg,59-L1 540.63,0.831,easyocr,False,True,True,False,False,2,0.8696,0,0,1,21.72,38.24,59.97
0059_04971_b.jpg,59-FI 381.51,0.9293,easyocr,False,True,False,False,False,3,0.7826,0,1,1,21.05,48.96,70.01
0100_01595_b.jpg,63-YI 0200,0.8325,easyocr,False,True,False,True,False,2,0.8,0,1,0,21.82,47.03,68.85
0101_00088_b.jpg,67-L1 066.69,0.7549,easyocr,False,True,True,False,False,2,0.8696,0,0,1,21.37,55.84,77.21
0101_01261_b.jpg,59-52 352.05,0.8623,easyocr,False,True,False,False,False,3,0.7826,0,1,1,20.76,47.92,68.68
0101_01715_b.jpg,86*83 198 58,0.804,easyocr,False,True,False,False,False,3,0.7826,0,2,1,20.84,48.07,68.9
0101_07107_b.jpg,71-53 so11,0.4533,easyocr,False,True,False,False,False,4,0.6,0,1,2,19.68,46.15,65.83
0102_00398_b.jpg,60-B8 13705,0.7659,easyocr,False,True,True,True,True,1,0.9091,0,0,0,20.8,61.67,82.47
0103_01697_b.jpg,95-aa 008.39,0.468,easyocr,False,True,True,False,False,4,0.6957,0,0,1,20.69,45.01,65.7
0104_00171_b.jpg,59-H1 622.81,0.8945,easyocr,False,True,True,False,False,2,0.8696,0,0,1,20.79,47.87,68.66
0107_00252_b.jpg,59-51 313.86,0.7073,easyocr,False,True,False,False,False,3,0.7826,0,1,1,20.78,56.26,77.04
0108_05849_b.jpg,59-P1 83257,0.8701,easyocr,False,True,True,True,True,1,0.9091,0,0,0,20.99,46.46,67.45
0110_04515_b.jpg,54-52 2148,0.7802,easyocr,False,True,False,True,False,2,0.8,0,1,0,19.9,60.28,80.17
0114_00145_b.jpg,47-81 428.72,0.9243,easyocr,False,True,False,False,False,3,0.7826,0,1,1,20.92,43.17,64.09
0116_00148_b.jpg,59-U1 352.26,0.7903,easyocr,False,True,True,False,False,2,0.8696,0,0,1,20.22,48.89,69.11
0117_00148_b.jpg,59-01 252.26,0.488,easyocr,False,True,False,False,False,4,0.6957,0,1,2,20.64,47.64,68.29
0118_00750_b.jpg,85-01 016.11,0.9591,easyocr,False,True,False,False,False,3,0.7826,0,1,1,21.0,56.23,77.23
0118_00754_b.jpg,72-C1 360.87,0.7305,easyocr,False,True,True,False,False,2,0.8696,0,0,1,20.65,61.48,82.13
0118_01998_b.jpg,66-PI 5139,0.5102,easyocr,False,True,False,False,False,3,0.7,0,1,1,20.73,54.57,75.3
0118_07169_b.jpg,51-73 0606,0.7806,easyocr,False,True,False,True,False,2,0.8,0,1,0,20.73,41.44,62.17
0119_01947_b.jpg,54-55 5036,0.9047,easyocr,False,True,False,True,False,2,0.8,0,1,0,20.49,46.35,66.85
0121_06062_b.jpg,67-81 408.33,0.4761,easyocr,False,True,False,False,False,3,0.7826,0,1,1,19.94,47.57,67.52
0121_07251_b.jpg,76-61 120.00,0.5017,easyocr,False,True,False,False,False,3,0.7826,0,1,1,20.88,54.35,75.23
0122_00752_b.jpg,59-LI 841.59,0.5412,easyocr,False,True,False,False,False,4,0.6957,0,1,2,20.81,47.86,68.67
0123_00918_b.jpg,59-51 745.13,0.6913,easyocr,False,True,False,False,False,4,0.6957,0,1,2,20.71,47.65,68.35
0123_02088_b.jpg,60-B1 1864.36,0.5315,easyocr,False,True,True,False,False,3,0.8333,0,0,2,20.11,43.43,63.53
0123_04299_b.jpg,59-517 594.84,0.4509,easyocr,False,True,False,False,False,4,0.75,0,1,2,20.59,61.61,82.2
0125_01920_b.jpg,59-EI 03640,0.484,easyocr,False,True,False,True,False,2,0.8182,0,1,0,20.75,37.7,58.46
0125_02242_b.jpg,59-IZ 15800,0.6315,easyocr,False,True,False,True,False,3,0.7273,0,2,0,20.92,47.63,68.55
0126_00940_b.jpg,59-[1 540.63,0.5038,easyocr,False,True,False,False,False,3,0.7826,0,1,1,20.76,46.0,66.75
0127_04803_b.jpg,59-T1 616.54,0.6045,easyocr,False,True,True,False,False,2,0.8696,0,0,1,20.97,56.25,77.22
0128_08102_b.jpg,77-86 9618,0.625,easyocr,False,False,False,True,False,3,0.7,1,1,0,20.62,45.9,66.52
0129_00608_b.jpg,66-86 087.97,0.6629,easyocr,False,False,False,False,False,4,0.6957,1,1,1,20.83,48.4,69.23
0130_01078_b.jpg,62-L1 227.67,0.8358,easyocr,False,True,True,False,False,2,0.8696,0,0,1,20.6,56.02,76.61
0131_00436_b.jpg,59 H1 '03519,0.4379,easyocr,False,True,False,False,False,2,0.8696,0,1,1,20.46,46.06,66.52
0131_00635_b.jpg,59-17 785.82,0.6983,easyocr,False,True,False,False,False,4,0.7826,0,2,1,20.69,48.03,68.72
0131_00733_b.jpg,59-YI 608.11,0.7305,easyocr,False,True,False,False,False,3,0.7826,0,1,1,20.6,47.52,68.12
0131_00774_b.jpg,59-KI [832.35,0.5521,easyocr,False,True,False,False,False,4,0.75,0,1,2,20.95,43.32,64.27
0131_05638_b.jpg,59-01 462.88,0.857,easyocr,False,True,False,False,False,3,0.7826,0,1,1,20.57,43.25,63.82
0132_02227_b.jpg,59-E1 252.92,0.3914,easyocr,False,True,True,False,False,3,0.7826,0,0,2,20.93,37.52,58.45
0132_04704_b.jpg,59-52 17e31,0.5408,easyocr,False,True,False,False,False,4,0.6364,0,1,2,20.62,59.96,80.58
0132_04939_b.jpg,59 P1 558.11,0.8331,easyocr,False,True,True,False,False,1,0.9565,0,0,1,20.65,41.53,62.18
0133_04344_b.jpg,59-F1 474.04,0.5296,easyocr,False,True,True,False,False,2,0.8696,0,0,1,21.02,47.81,68.83
0134_00408_b.jpg,51-[3 3664,0.8998,easyocr,False,True,False,True,False,2,0.8,0,1,0,20.69,46.21,66.9
0134_00660_b.jpg,59-FI 314.69,0.7257,easyocr,False,True,False,False,False,3,0.7826,0,1,1,20.72,37.97,58.69
0134_01049_b.jpg,54*72 8101,0.6686,easyocr,False,True,False,False,False,2,0.8,0,2,1,21.6,41.79,63.38
0134_05469_b.jpg,59-82 720.61,0.5276,easyocr,False,True,False,False,False,3,0.7826,0,1,1,22.13,49.34,71.47
0135_00957_b.jpg,52 F6 L378,0.4154,easyocr,False,True,True,False,False,1,0.9,0,0,1,20.95,46.47,67.42
0136_02540_b.jpg,85-81 178.51,0.511,easyocr,False,True,False,False,False,3,0.7826,0,1,1,20.98,43.15,64.13
0136_02545_b.jpg,51-T4 2133,0.7906,easyocr,False,True,True,True,True,1,0.9,0,0,0,20.63,54.74,75.37
0136_06222_b.jpg,62-86 280.32,0.4266,easyocr,False,False,False,False,False,4,0.6957,1,1,1,20.72,43.31,64.03
0136_07165_b.jpg,59-E1 080.58,0.6189,easyocr,False,True,True,False,False,2,0.8696,0,0,1,20.61,47.88,68.49
0137_01848_b.jpg,51-Y6 7665,0.8334,easyocr,False,True,True,True,True,1,0.9,0,0,0,20.6,54.47,75.07
0137_06297_b.jpg,95-08 [011.79,0.5931,easyocr,False,True,False,False,False,5,0.6667,0,2,2,20.78,47.92,68.7
0138_04710_b.jpg,60-C1 23174,0.8075,easyocr,False,True,True,False,False,2,0.8182,0,0,1,20.5,56.34,76.84
0138_05250_b.jpg,60-P7 1246,0.8817,easyocr,False,True,True,True,True,1,0.9,0,0,0,20.89,46.12,67.0
0139_05267_b.jpg,79E7 00657,0.4345,easyocr,False,False,False,False,False,4,0.6667,1,1,1,20.68,41.54,62.22
0139_06601_b.jpg,59 (I 144.68,0.4855,easyocr,False,True,False,False,False,3,0.7826,0,2,1,20.69,47.55,68.25
0139_07305_b.jpg,"59-71 608,.30",0.5838,easyocr,False,True,False,False,False,4,0.75,0,1,2,20.24,56.09,76.33
0139_07352_b.jpg,59 F1 238.65,0.844,easyocr,False,True,True,False,False,1,0.9565,0,0,1,20.67,47.76,68.43
0140_00057_b.jpg,59-U1 [457.81,0.6057,easyocr,False,True,True,False,False,3,0.8333,0,0,2,20.45,47.6,68.05
0140_04869_b.jpg,54-T1 6u84,0.5657,easyocr,False,True,True,False,False,2,0.8,0,0,1,20.38,46.28,66.66
0141_02242_b.jpg,59-72 158.00,0.7387,easyocr,False,True,False,False,False,3,0.7826,0,1,1,21.05,37.59,58.64
0142_02613_b.jpg,62*H1 32146,0.4277,easyocr,False,True,False,False,False,3,0.7273,0,2,2,19.83,42.22,62.05
0143_02079_b.jpg,59-C1 399.16,0.8246,easyocr,False,True,True,False,False,2,0.8696,0,0,1,20.65,48.09,68.74
0143_02624_b.jpg,59-C2 305.13,0.8878,easyocr,False,True,True,False,False,2,0.8696,0,0,1,20.58,55.68,76.26
0143_04789_b.jpg,59-MI 563.78,0.6731,easyocr,False,True,False,False,False,3,0.7826,0,1,1,20.47,37.65,58.12
