filename,predicted_plate,confidence,ca_province,ca_series,ca_number,ca_full,yolo_ms,ocr_ms,total_ms
0000_06886_b.jpg,59-C1 55331,0.9113,True,True,False,False,491.78,2415.72,2907.5
0004_06801_b.jpg,59-H1 54986,0.953,True,True,True,True,102.84,53.71,156.55
0006_05286_b.jpg,59-CT 55331,0.8928,True,False,False,False,84.75,43.8,128.55
0006_06035_b.jpg,59-1 39619,0.9667,True,False,False,False,85.2,47.69,132.89
0007_02188_b.jpg,60-85 5723,0.9444,True,True,False,False,97.94,48.13,146.07
0007_05159_b.jpg,37-M1 07918,0.822,True,True,True,True,84.18,44.51,128.69
0018_07248_b.jpg,77FT 30541,0.762,True,False,True,False,86.06,51.71,137.76
0019_01137_b.jpg,59-V1 84031,0.7286,True,True,True,True,83.83,52.95,136.78
0020_02063_b.jpg,63-89 57926,0.954,True,True,True,True,89.44,60.83,150.27
0025_00457_b.jpg,59-B1 34917,0.7819,True,True,True,True,89.22,52.02,141.24
0028_08102_b.jpg,59-C1 00507,0.7967,True,True,True,True,87.61,42.92,130.54
0043_01757_b.jpg,65-F1 31532,0.9414,True,True,True,True,86.8,51.76,138.56
0045_01821_b.jpg,NO_PLATE,0.0,False,False,False,False,86.94,0.0,86.95
0047_00966_b.jpg,54-51 6312,0.4983,True,True,True,True,83.67,40.34,124.0
0048_01689_b.jpg,51-85 6273,0.884,True,False,True,False,91.86,48.59,140.46
0051_01757_b.jpg,85-F1 1532,0.8656,False,True,False,False,87.0,44.72,131.72
0054_00940_b.jpg,59-L1 54063,0.9851,True,True,True,True,84.22,40.15,124.37
0059_04971_b.jpg,59-F1 38151,0.9173,True,True,True,True,84.18,46.33,130.51
0100_01595_b.jpg,63-Y1 0200,0.9915,True,True,True,True,84.95,52.0,136.95
0101_00088_b.jpg,67-21 06669,0.6621,True,False,True,False,89.9,53.67,143.57
0101_01261_b.jpg,59-52 85205,0.8341,True,True,False,False,88.43,52.93,141.36
0101_01715_b.jpg,86-83 198-58,0.8426,True,True,True,True,87.09,51.81,138.91
0101_07107_b.jpg,71-53 5011,0.8248,True,True,True,True,84.19,49.96,134.15
0102_00398_b.jpg,60-88 13705,0.9559,True,True,True,True,95.36,51.05,146.41
0103_01697_b.jpg,95-AK 00839,0.6287,True,False,True,False,89.42,62.67,152.09
0104_00171_b.jpg,59-H1 62281,0.7785,True,True,True,True,86.74,69.78,156.53
0107_00252_b.jpg,59-51 1386,0.9948,True,True,False,False,83.24,44.1,127.34
0108_05849_b.jpg,59-P1 83257,0.966,True,True,True,True,81.45,48.48,129.94
0110_04515_b.jpg,54-52 2148,0.7878,True,True,True,True,82.23,43.38,125.61
0114_00145_b.jpg,47-81 42872,0.9388,True,True,True,True,83.06,46.55,129.62
0116_00148_b.jpg,59-01 35226,0.8802,True,False,True,False,83.62,49.46,133.07
